"","SEX","AGE_GROUP","ACTIVITY","mean","sd","n"
"1","Overall","Overall",NA,25.9261956045428,79.6323396021334,8647
"2","Overall","Overall",NA,7.78984312678396,48.9411318383508,8647
"3","Overall","Overall",NA,24.7576727569477,98.7080623603547,8647
"4","Overall","Overall",NA,62.9446410813452,45.7383435061251,8647
"5","Overall","Overall",NA,0.183545282723951,3.80653470060849,8647
"6","Overall","Overall",NA,117.966792265727,141.74981980806,8647
"7","Overall","Overall",NA,0.838826654621867,9.39342472090123,8647
"8","Overall","Overall",NA,580.429780574833,137.149142292574,8647
"9","Overall","Overall",NA,9.00089783613235,33.9732670131302,8647
"10","Overall","Overall",NA,5.73178328374059,30.7929398597232,8647
"11","Overall","Overall",NA,17.4343705314263,40.345967742606,8647
"12","Overall","Overall",NA,6.11590541292365,30.1171479385476,8647
"13","Overall","Overall",NA,302.334823457634,220.514681446735,8647
"14","Overall","Overall",NA,20.9741325866655,57.4504698670382,8647
"15","Overall","Overall",NA,51.3182089152325,68.736117561053,8647
"16","Overall","Overall",NA,5.46227554745103,36.123083095973,8647
"17","Overall","Overall",NA,188.782026669774,253.10360512858,8647
"18","1","15-24",NA,4.80254086074582,44.5575962993683,366
"19","1","15-24",NA,3.54584903290069,28.7192448464862,366
"20","1","15-24",NA,111.710133578938,173.221277628994,366
"21","1","15-24",NA,52.6276962774545,39.706075395989,366
"22","1","15-24",NA,0,0,366
"23","1","15-24",NA,46.1060471905925,97.2544645825402,366
"24","1","15-24",NA,0.195651300104278,3.66366389294659,366
"25","1","15-24",NA,609.204293745095,141.623526372534,366
"26","1","15-24",NA,12.0186105018971,52.2611771328783,366
"27","1","15-24",NA,1.9880697361658,13.6965930216077,366
"28","1","15-24",NA,8.15575471218388,25.1659929314457,366
"29","1","15-24",NA,1.54143653635435,13.729997500735,366
"30","1","15-24",NA,388.250328855923,220.74609353821,366
"31","1","15-24",NA,33.6765318192474,73.235967187066,366
"32","1","15-24",NA,44.4758802658086,73.0278365503016,366
"33","1","15-24",NA,3.89925557865628,26.734838570636,366
"34","1","15-24",NA,111.39208809129,196.75240536347,366
"35","1","25-34",NA,24.2804430565586,68.6684629943929,557
"36","1","25-34",NA,7.0239237826704,69.9681477875056,557
"37","1","25-34",NA,16.6655004871338,81.9757569487196,557
"38","1","25-34",NA,62.5066924420631,48.5446742265418,557
"39","1","25-34",NA,0.138109633666815,2.87532672061789,557
"40","1","25-34",NA,72.2562055809241,112.051220648892,557
"41","1","25-34",NA,0.375911162915599,6.00874713302272,557
"42","1","25-34",NA,578.398344390989,122.871987451949,557
"43","1","25-34",NA,7.54755469502501,34.9404107432509,557
"44","1","25-34",NA,2.54855281800015,14.9491809740911,557
"45","1","25-34",NA,11.5980821419648,34.3207523471943,557
"46","1","25-34",NA,2.57546401185272,17.1075207703171,557
"47","1","25-34",NA,262.850849389197,221.470882989735,557
"48","1","25-34",NA,28.174826204181,85.6417800336356,557
"49","1","25-34",NA,59.2494235123268,74.6656094775082,557
"50","1","25-34",NA,3.21708615657958,26.0714814380126,557
"51","1","25-34",NA,290.664004390512,274.103895046006,557
"52","1","35-44",NA,42.5558053422196,85.8371108179096,710
"53","1","35-44",NA,5.00073148110845,39.22651766107,710
"54","1","35-44",NA,3.12513189150331,28.1556860016221,710
"55","1","35-44",NA,63.9529765213978,42.3784757211468,710
"56","1","35-44",NA,0.0791011634738719,2.05659337626344,710
"57","1","35-44",NA,96.7963301326801,142.508340467303,710
"58","1","35-44",NA,0.298347974343933,3.48230527413873,710
"59","1","35-44",NA,552.978349220067,122.491203722368,710
"60","1","35-44",NA,4.38309128084538,24.4959810241384,710
"61","1","35-44",NA,3.09529074199301,20.9254729428032,710
"62","1","35-44",NA,13.0921311085487,31.1611730460485,710
"63","1","35-44",NA,4.39751266705876,22.3173163772043,710
"64","1","35-44",NA,227.41096016222,186.740720697233,710
"65","1","35-44",NA,24.741812874629,68.6058615986986,710
"66","1","35-44",NA,62.886537635993,70.7791480012712,710
"67","1","35-44",NA,5.10734898237952,30.0314560902706,710
"68","1","35-44",NA,318.444448661274,281.406114800727,710
"69","1","45-54",NA,17.3303142320602,69.0769108015182,620
"70","1","45-54",NA,5.32537499208945,42.3636808972862,620
"71","1","45-54",NA,2.77955434662442,25.7195444598156,620
"72","1","45-54",NA,62.7569458054932,44.6162043564491,620
"73","1","45-54",NA,0.273095924553554,6.38370242620945,620
"74","1","45-54",NA,104.341806976515,137.117397828835,620
"75","1","45-54",NA,0.426792511936736,4.11062971722212,620
"76","1","45-54",NA,549.866967460022,133.070244599956,620
"77","1","45-54",NA,3.85301445823329,19.9474700055075,620
"78","1","45-54",NA,6.84838100418094,44.202742563705,620
"79","1","45-54",NA,14.8821753457788,31.8668360031822,620
"80","1","45-54",NA,5.5188658837789,32.3981984093809,620
