"","DATE","dim1","dim2"
"1","2019-01",23.1653051366428,-6.27628677382769
"2","2021-01",-23.6092528409991,-23.8365393977439
"3","2019-02",15.8767176553078,-6.94052348533863
"4","2021-02",-2.92079545212499,-14.7112680710667
"5","2019-03",21.36645121966,-3.45888146692656
"6","2021-03",10.0802320567806,-8.75946592740105
"7","2019-04",34.0289305035897,11.1086796920472
"8","2021-04",-0.92395846296238,-6.66498819274212
"9","2019-05",33.2793587204135,7.64846001293068
"10","2021-05",-21.0369780679975,15.5506494854078
"11","2019-06",-6.76750979266644,17.0654062760438
"12","2021-06",-4.09713783647253,18.0400947851132
"13","2019-07",0.969622894730547,22.3542891916028
"14","2021-07",-28.2242479520669,14.2914188855992
"15","2019-08",12.9201973350258,15.1464978587824
"16","2021-08",3.49772621347289,16.1299169204567
"17","2019-09",15.5291634668703,9.40623880306746
"18","2021-09",21.1672450706252,0.280460824088333
"19","2019-10",33.1197019202244,-1.06047716680084
"20","2021-10",14.7824982562665,-5.39047942178711
"21","2019-11",4.94748504329523,-1.39253886208468
"22","2021-11",7.82419527400663,-3.54265250011284
"23","2019-12",28.4423243247728,-1.7971654781101
"24","2021-12",23.1730798924441,-6.74379606195671
"25","2020-01",7.62115341388969,0.893049104336773
"26","2020-02",22.9011715640413,-11.4627974006654
"27","2020-03",4.71523954334395,-14.2749632763695
"28","2020-05",-59.3964658355297,-5.19910613719131
"29","2020-06",-46.5787396783931,4.99221108817959
"30","2020-07",-22.0178600320022,18.355541307579
"31","2020-08",-49.4033646315205,10.2774222884782
"32","2020-09",9.21772919637935,-11.5124988299643
"33","2020-10",-20.2090175682647,-18.3836279573451
"34","2020-11",-18.305917454585,-16.4940610203991
"35","2020-12",-45.1342830961983,-13.6382190958794
